start time,1632908804.270823
times of actions,"[[0, 0.002008199691772461], [1, 0.21500372886657715], [0, 0.0051763057708740234], [1, 0.2519989013671875], [0, 0.0048944950103759766], [1, 0.2599968910217285], [0, 0.010001897811889648], [1, 0.2620518207550049], [0, 0.006000041961669922], [1, 0.33699965476989746], [0, 0.0060079097747802734], [1, 0.5959997177124023], [0, 0.005002021789550781], [1, 0.5980002880096436], [0, 0.006003379821777344], [1, 0.5700392723083496], [0, 0.0049648284912109375], [1, 0.4719974994659424], [0, 0.004997730255126953], [1, 0.4029970169067383], [0, 0.005033016204833984], [1, 0.3020284175872803]]"
winner,blue
game,15
iterations,24
times of actions,"[[0, 0.0027434825897216797], [1, 0.13899993896484375], [0, 0.006022214889526367], [1, 0.22899985313415527], [0, 0.004997968673706055], [1, 0.25004053115844727], [0, 0.004999876022338867], [1, 0.2480001449584961], [0, 0.009998559951782227], [1, 0.2669992446899414], [0, 0.00599980354309082], [1, 0.40400195121765137], [0, 0.005998849868774414], [1, 0.7030422687530518], [0, 0.006000518798828125], [1, 0.6039965152740479], [0, 0.004964113235473633], [1, 0.5579988956451416], [0, 0.0049991607666015625], [1, 0.47699880599975586], [0, 0.0049991607666015625], [1, 0.41899943351745605], [0, 0.005998849868774414], [1, 0.27399754524230957]]"
winner,blue
game,16
iterations,17
times of actions,"[[0, 0.0029993057250976562], [1, 0.25204014778137207], [0, 0.006003141403198242], [1, 0.2539968490600586], [0, 0.004967451095581055], [1, 0.2659952640533447], [0, 0.009999752044677734], [1, 0.3399999141693115], [0, 0.004740476608276367], [1, 0.5864014625549316], [0, 0.00581812858581543], [1, 0.5947399139404297], [0, 0.014027118682861328], [1, 0.6699981689453125], [0, 0.0060002803802490234], [1, 0.5810589790344238], [0, 0.00500178337097168], [1, 0.5929956436157227]]"
winner,none
game,17
iterations,20
times of actions,"[[0, 0.0029952526092529297], [1, 0.21931076049804688], [0, 0.00500035285949707], [1, 0.2069993019104004], [0, 0.004999637603759766], [1, 0.25099992752075195], [0, 0.00500178337097168], [1, 0.3390004634857178], [0, 0.004999637603759766], [1, 0.6016716957092285], [0, 0.004998922348022461], [1, 0.5869996547698975], [0, 0.008944988250732422], [1, 0.5299983024597168], [0, 0.006003141403198242], [1, 0.3080270290374756], [0, 0.003999948501586914], [1, 0.3950014114379883], [0, 0.00999903678894043], [1, 0.275998592376709]]"
winner,blue
game,18
iterations,28
times of actions,"[[0, 0.001983165740966797], [1, 0.15899872779846191], [0, 0.003998994827270508], [1, 0.16001582145690918], [0, 0.004000425338745117], [1, 0.1699995994567871], [0, 0.004958629608154297], [1, 0.3179934024810791], [0, 0.010000228881835938], [1, 0.5771234035491943], [0, 0.006000041961669922], [1, 0.5990583896636963], [0, 0.00595855712890625], [1, 0.596996545791626], [0, 0.0049991607666015625], [1, 0.5750033855438232], [0, 0.005000114440917969], [1, 0.40199899673461914], [0, 0.003998756408691406], [1, 0.666999340057373], [0, 0.006998777389526367], [1, 0.6350393295288086], [0, 0.0059986114501953125], [1, 0.335003137588501], [0, 0.0029599666595458984], [1, 0.30499720573425293], [0, 0.003998994827270508], [1, 0.25403690338134766]]"
winner,blue
game,19
iterations,18
times of actions,"[[0, 0.0030336380004882812], [1, 0.28798580169677734], [0, 0.0050008296966552734], [1, 0.3439929485321045], [0, 0.010000467300415039], [1, 0.5990035533905029], [0, 0.00600433349609375], [1, 0.6000003814697266], [0, 0.009999990463256836], [1, 0.5609984397888184], [0, 0.004999399185180664], [1, 0.5670421123504639], [0, 0.0054836273193359375], [1, 0.4679996967315674], [0, 0.008960247039794922], [1, 0.4329986572265625], [0, 0.004997968673706055], [1, 0.2850208282470703]]"
winner,blue
game,20
iterations,26
times of actions,"[[0, 0.002969026565551758], [1, 0.2520005702972412], [0, 0.00999903678894043], [1, 0.2530398368835449], [0, 0.009999990463256836], [1, 0.25100207328796387], [0, 0.00559234619140625], [1, 0.27399754524230957], [0, 0.005000591278076172], [1, 0.3150043487548828], [0, 0.005809307098388672], [1, 0.6239519119262695], [0, 0.00496363639831543], [1, 0.64595627784729], [0, 0.0059359073638916016], [1, 0.5999817848205566], [0, 0.0049610137939453125], [1, 0.535991907119751], [0, 0.005973100662231445], [1, 0.46300792694091797], [0, 0.0050182342529296875], [1, 0.4640045166015625], [0, 0.004964590072631836], [1, 0.3430054187774658], [0, 0.009003639221191406], [1, 0.29901623725891113]]"
winner,blue
game,21
iterations,18
times of actions,"[[0, 0.0029573440551757812], [1, 0.22600674629211426], [0, 0.0059661865234375], [1, 0.2500030994415283], [0, 0.005964756011962891], [1, 0.24000883102416992], [0, 0.006000518798828125], [1, 0.2640082836151123], [0, 0.0059545040130615234], [1, 0.22600293159484863], [0, 0.004015445709228516], [1, 0.46900081634521484], [0, 0.002992391586303711], [1, 0.4839916229248047], [0, 0.002998828887939453], [1, 0.37598609924316406], [0, 0.003988981246948242], [1, 0.3130042552947998]]"
winner,blue
game,22
iterations,30
times of actions,"[[0, 0.001998424530029297], [1, 0.08859801292419434], [0, 0.002052783966064453], [1, 0.14899230003356934], [0, 0.003002166748046875], [1, 0.1849536895751953], [0, 0.004004478454589844], [1, 0.38399672508239746], [0, 0.005999326705932617], [1, 0.6430211067199707], [0, 0.0059664249420166016], [1, 0.5880017280578613], [0, 0.006007194519042969], [1, 0.40199971199035645], [0, 0.004000425338745117], [1, 0.3739967346191406], [0, 0.003999471664428711], [1, 0.2599935531616211], [0, 0.0019998550415039062], [1, 0.3636772632598877], [0, 0.004000663757324219], [1, 0.3769986629486084], [0, 0.00400090217590332], [1, 0.3399991989135742], [0, 0.0030024051666259766], [1, 0.18953943252563477], [0, 0.0030002593994140625], [1, 0.22500038146972656], [0, 0.003999471664428711], [1, 0.1159982681274414]]"
winner,blue
game,23
iterations,22
times of actions,"[[0, 0.003000497817993164], [1, 0.14604926109313965], [0, 0.005002260208129883], [1, 0.22800588607788086], [0, 0.006000995635986328], [1, 0.2579958438873291], [0, 0.006002902984619141], [1, 0.24200034141540527], [0, 0.006001710891723633], [1, 0.2510035037994385], [0, 0.005855083465576172], [1, 0.3229982852935791], [0, 0.004999399185180664], [1, 0.3990955352783203], [0, 0.004000425338745117], [1, 0.5780026912689209], [0, 0.00599980354309082], [1, 0.3839991092681885], [0, 0.004001140594482422], [1, 0.47600364685058594], [0, 0.0060024261474609375], [1, 0.4869987964630127]]"
winner,blue
game,24
iterations,20
times of actions,"[[0, 0.002730846405029297], [1, 0.23000359535217285], [0, 0.004959821701049805], [1, 0.23399710655212402], [0, 0.004999637603759766], [1, 0.25300049781799316], [0, 0.00899958610534668], [1, 0.21799874305725098], [0, 0.003999233245849609], [1, 0.3939785957336426], [0, 0.00400233268737793], [1, 0.5640027523040771], [0, 0.005002260208129883], [1, 0.5389997959136963], [0, 0.010001659393310547], [1, 0.4239990711212158], [0, 0.004998683929443359], [1, 0.24199795722961426], [0, 0.0029993057250976562], [1, 0.26000308990478516]]"
winner,blue
game,25
iterations,26
times of actions,"[[0, 0.002035379409790039], [1, 0.19116497039794922], [0, 0.004954338073730469], [1, 0.2137761116027832], [0, 0.01100301742553711], [1, 0.21499896049499512], [0, 0.004999637603759766], [1, 0.24098730087280273], [0, 0.00500035285949707], [1, 0.2259988784790039], [0, 0.00500035285949707], [1, 0.25319886207580566], [0, 0.005959272384643555], [1, 0.21699881553649902], [0, 0.007001638412475586], [1, 0.37404298782348633], [0, 0.004001140594482422], [1, 0.2649986743927002], [0, 0.0029990673065185547], [1, 0.3469972610473633], [0, 0.00500178337097168], [1, 0.1870415210723877], [0, 0.0030024051666259766], [1, 0.24499726295471191], [0, 0.005000591278076172], [1, 0.11500430107116699]]"
winner,blue
game,26
iterations,24
