start time,1631469037.5784643
game,9
iterations,21
times of actions,"[[0, 0.9315149784088135], [1, 0.9945366382598877], [0, 1.7261393070220947], [1, 1.658022403717041], [0, 1.9780840873718262], [1, 1.9100418090820312], [0, 2.043998956680298], [1, 2.0829954147338867], [0, 2.576878786087036], [1, 3.5077321529388428], [0, 4.296818017959595], [1, 3.5260534286499023], [0, 4.51503849029541], [1, 3.395951509475708], [0, 4.337721109390259], [1, 3.3350000381469727], [0, 4.595999717712402], [1, 3.2987747192382812], [0, 4.245970010757446], [1, 2.6330034732818604], [0, 3.4238007068634033]]"
winner,red
game,10
iterations,27
times of actions,"[[0, 1.9159018993377686], [1, 1.9628946781158447], [0, 1.9980483055114746], [1, 1.9750008583068848], [0, 2.0435562133789062], [1, 2.1159346103668213], [0, 2.420999526977539], [1, 3.657957077026367], [0, 4.4018964767456055], [1, 3.508005142211914], [0, 4.314103841781616], [1, 3.672039747238159], [0, 4.264003753662109], [1, 3.366187334060669], [0, 4.377047300338745], [1, 3.5517475605010986], [0, 4.477702617645264], [1, 3.137951374053955], [0, 4.075778245925903], [1, 2.597012519836426], [0, 3.1656272411346436], [1, 2.320451021194458], [0, 2.5020039081573486], [1, 1.8380036354064941], [0, 2.479037284851074], [1, 2.104778528213501], [0, 2.9489126205444336]]"
winner,red
game,11
iterations,23
times of actions,"[[0, 1.0786411762237549], [1, 1.0260701179504395], [0, 2.206022262573242], [1, 2.9790408611297607], [0, 4.3859875202178955], [1, 3.488020896911621], [0, 4.405035734176636], [1, 3.369936227798462], [0, 4.416003704071045], [1, 3.581981897354126], [0, 4.358927488327026], [1, 3.3762917518615723], [0, 4.421993970870972], [1, 3.5228307247161865], [0, 4.222000598907471], [1, 3.1799986362457275], [0, 3.3239994049072266], [1, 2.269782543182373], [0, 4.080045461654663], [1, 2.72700572013855], [0, 3.2230887413024902], [1, 2.118072032928467], [0, 3.1859607696533203], [1, 2.5380473136901855]]"
winner,none
game,12
iterations,27
times of actions,"[[0, 1.7327244281768799], [1, 1.6509954929351807], [0, 1.986032485961914], [1, 1.9080045223236084], [0, 2.0110414028167725], [1, 2.095999002456665], [0, 2.5599827766418457], [1, 3.529036045074463], [0, 4.413042306900024], [1, 3.4869754314422607], [0, 4.405046224594116], [1, 3.555006980895996], [0, 4.319056034088135], [1, 3.3989758491516113], [0, 4.435003757476807], [1, 3.4580023288726807], [0, 4.4627721309661865], [1, 3.160045623779297], [0, 4.073003053665161], [1, 2.638017416000366], [0, 3.126755714416504], [1, 2.332007646560669], [0, 2.496001958847046], [1, 1.8419110774993896], [0, 2.486929178237915], [1, 2.253041982650757], [0, 2.7849912643432617]]"
winner,red
game,13
iterations,35
